1 37.23913043478261 6.071428571428571 46 91
1 12.273584905660377 6.330985915492958 53 71
1 13.041666666666666 6.672413793103448 48 87
1 40.27142857142857 6.646341463414634 35 82
1 57.84615384615385 5.897260273972603 26 73
1 37.57692307692308 6.683333333333334 26 60
1 70.19565217391305 7.9 23 45
1 100.5 6.222222222222222 19 72
1 48.4375 5.908450704225352 32 71
1 33.58571428571429 6.601449275362318 35 69
1 56.911764705882355 8.657894736842104 17 38
1 23.6 63.875 10 8
1 36.80769230769231 6.833333333333333 26 57
1 11.833333333333334 5.7727272727272725 72 143
1 6.5 5.851648351648351 44 91
1 4.416666666666667 6.6875 36 64
