1 18.045454545454547 5.9036697247706424 55 109
1 24.48 6.6875 50 80
1 7.5256410256410255 5.433962264150943 39 106
1 57.07142857142857 6.264705882352941 28 68
1 40.46969696969697 5.844262295081967 33 61
1 22.98 5.9222222222222225 50 90
1 10.359649122807017 5.551724137931035 57 116
1 14.992063492063492 5.5843373493975905 63 83
1 14.458333333333334 5.795081967213115 24 61
1 38.890243902439025 5.394117647058824 41 85
1 42.31481481481482 5.105263157894737 27 76
1 19.06 6.3545454545454545 25 55
1 24.055555555555557 5.3625 36 80
1 15.696078431372548 5.435897435897436 51 78
1 8.05072463768116 5.955555555555556 69 90
1 30.77777777777778 7.185714285714286 18 35
1 52.205882352941174 15.5 17 14
1 6.406976744186046 6.108695652173913 43 69
1 4.408163265306122 6.420792079207921 98 101
1 3.5434782608695654 5.322429906542056 46 107
1 23.0 5.556 60 125
1 27.89344262295082 6.038461538461538 61 91
