1 34.93181818181818 6.14367816091954 44 87
1 10.394736842105264 6.4 57 70
1 9.333333333333334 6.59375 72 96
1 47.421052631578945 6.434210526315789 38 76
1 24.60909090909091 6.8164556962025316 55 79
1 27.652173913043477 6.132352941176471 46 68
1 26.948275862068964 6.109375 29 64
1 59.0 6.979166666666667 24 48
1 43.4 6.268115942028985 40 69
1 51.9 5.513698630136986 25 73
1 25.414285714285715 5.7368421052631575 35 76
1 34.88095238095238 7.925 21 40
1 26.583333333333332 62.625 12 8
1 18.554054054054053 6.771186440677966 37 59
1 8.277777777777779 6.109929078014185 90 141
