1 21.796296296296298 5.52803738317757 54 107
1 27.57894736842105 5.414893617021277 38 94
1 9.817073170731707 4.910526315789474 41 95
1 23.18888888888889 5.58 45 100
1 40.36363636363637 4.981012658227848 44 79
1 41.08064516129032 5.2846153846153845 31 65
1 42.871428571428574 5.117977528089888 35 89
1 24.605263157894736 9.724137931034482 57 58
1 38.46296296296296 5.060975609756097 27 82
1 30.38 5.420634920634921 25 63
1 43.9390243902439 5.2701149425287355 41 87
1 34.76315789473684 5.0 38 82
1 14.142857142857142 5.170731707317073 28 82
1 27.175 5.487179487179487 40 78
1 21.357142857142858 5.860655737704918 28 61
1 14.108695652173912 5.233333333333333 46 90
1 42.5 6.038461538461538 15 39
1 62.86842105263158 46.0 19 14
1 24.095238095238095 5.198795180722891 42 83
1 10.918604651162791 5.267857142857143 43 112
1 6.653846153846154 4.954545454545454 39 99
1 30.336734693877553 5.928571428571429 49 112
1 32.48148148148148 5.587912087912088 54 91
