1 17.765625 4.996062992125984 64 127
1 12.485074626865671 5.334951456310679 67 103
1 1.6111111111111112 6.592592592592593 54 108
1 30.825581395348838 4.594117647058823 43 85
1 24.1 4.621621621621622 30 74
1 32.196969696969695 4.768817204301075 33 93
1 10.914285714285715 6.180851063829787 70 94
1 9.201754385964913 4.659574468085107 57 94
1 41.7 4.666666666666667 35 96
1 14.391304347826088 5.028735632183908 46 87
1 11.25609756097561 4.685567010309279 41 97
1 9.297619047619047 4.9789915966386555 84 119
1 7.404761904761905 5.236263736263736 42 91
1 1.0142857142857142 5.284172661870503 70 139
1 22.86231884057971 5.011278195488722 69 133
1 26.92622950819672 4.927083333333333 61 96
1 60.06666666666667 4.205882352941177 30 68
