1 37.03333333333333 6.219101123595506 45 89
1 9.944444444444445 6.559701492537314 54 67
1 13.0 6.845679012345679 44 81
1 29.18888888888889 7.3 45 75
1 63.18 6.2 25 70
1 41.5 6.946428571428571 24 56
1 71.1086956521739 8.74390243902439 23 41
1 37.8469387755102 6.456521739130435 49 69
1 54.810344827586206 6.484615384615385 29 65
1 32.52777777777778 6.345070422535211 36 71
1 56.0 10.693548387096774 18 31
1 25.61111111111111 71.78571428571429 9 7
1 51.3421052631579 7.421568627450981 19 51
1 13.261904761904763 5.816546762589928 63 139
1 8.166666666666666 5.712765957446808 39 94
1 7.0 8.26923076923077 34 52
